delta_omega,delta_D,S_mean,S_std
0.30000000000000004,1.5,0.9501485187813475,0.02603177327951224
0.30000000000000004,1.75,0.9754928214982904,0.021727863605318243
0.30000000000000004,2.0,0.9698663186225712,0.022524927036529366
0.4,-2.0,-0.979604858796867,0.02047160727849547
0.4,-1.75,-0.980777742793768,0.011027929523212304
0.4,-1.5,-0.9787644453450204,0.008058097770292406
0.4,-1.25,-0.979445611072775,0.011974397317742096
0.4,-1.0,-0.9724062966046357,0.012724541154361077
0.4,-0.75,-0.9809503688713894,0.01213356423680119
0.4,-0.5,-0.9621691717199038,0.02480401978441386
0.4,-0.25,-0.8629279631073793,0.09649278282562736
0.4,0.0,0.035155490864140986,0.8082494266579306
0.4,0.25,-0.09549932007728282,0.8022595953032285
0.4,0.5,0.7126487430036152,0.14981081952487663
0.4,0.75,0.9140663704837436,0.03207687047342324
0.4,1.0,0.9153648683144209,0.04381448048474197
0.4,1.25,0.843072671882972,0.11345061199583499
0.4,1.5,0.8969654432814853,0.0487729389604431
0.4,1.75,0.9506798853901236,0.036842444128034786
0.4,2.0,0.9419903190360657,0.06076905145690632
0.5,-2.0,-0.9795191011572595,0.014671909247824813
0.5,-1.75,-0.9822443262938705,0.0067157457584574
0.5,-1.5,-0.9676905814317939,0.016984733583696277
0.5,-1.25,-0.9666096885022967,0.009540528265599063
0.5,-1.0,-0.9807268873831688,0.012175066270865141
0.5,-0.75,-0.9847194742871885,0.009049742656382379
0.5,-0.5,-0.960327787512249,0.019737422896860698
0.5,-0.25,-0.9367476895800035,0.06088587418321303
0.5,0.0,0.024281497538506013,0.8356730311684987
0.5,0.25,0.0634258756259101,0.8248823427061128
0.5,0.5,0.9406296373876415,0.04332086923440778
0.5,0.75,0.9641431871409626,0.023279263135333864
0.5,1.0,0.8889802601078511,0.0963763421366387
0.5,1.25,0.9562444300738944,0.01597731248203381
0.5,1.5,0.9221610947546081,0.05822083965334476
0.5,1.75,0.9500624095190423,0.022564073199307037
0.5,2.0,0.9625617252526688,0.012380162088979355
