delta_b,delta_D,S_mean,S_std
0.3,-1.75,-0.9763910564237308,0.025911820449302927
0.3,-1.5,-0.9560983265045447,0.024134152002172324
0.3,-1.25,-0.9690070368681095,0.01047272558686244
0.3,-1.0,-0.9786045564549211,0.01020976776961539
0.3,-0.75,-0.934726595998281,0.07351739070699027
0.3,-0.5,-0.9272866882248729,0.07197950945994706
0.3,-0.25,-0.9266048912920926,0.08077627292853294
0.3,0.0,-0.9364521945639719,0.03779160070392856
0.3,0.25,-0.8865189428838957,0.1094831384409572
0.3,0.5,-0.593499690810476,0.3383219090623401
0.3,0.75,-0.49500089663374525,0.3307464921964461
0.3,1.0,-0.34814502701871025,0.3670145612816148
0.3,1.25,-0.006057364501291901,0.45454126271081713
0.3,1.5,0.8822463417822674,0.1247524816219284
0.3,1.75,0.6039056603237313,0.447289258068072
0.3,2.0,0.6935995688450785,0.23883440166172049
0.35000000000000003,-2.0,-0.9720871055615815,0.030346306911355023
0.35000000000000003,-1.75,-0.9887630103072651,0.003988655209154931
0.35000000000000003,-1.5,-0.9744403520209725,0.023514849154954054
0.35000000000000003,-1.25,-0.9456221080081469,0.04047747457265945
0.35000000000000003,-1.0,-0.9293462355118003,0.05157548473609007
0.35000000000000003,-0.75,-0.9724215944226021,0.024030707529288917
0.35000000000000003,-0.5,-0.9747766629280745,0.015527172224114613
0.35000000000000003,-0.25,-0.9509497463577047,0.04061275458493413
0.35000000000000003,0.0,-0.9009079460314007,0.07004208859084886
0.35000000000000003,0.25,-0.9420183582428336,0.0691441052644259
0.35000000000000003,0.5,-0.8661993667593164,0.128633502747319
0.35000000000000003,0.75,-0.8097484054614894,0.17679542535649864
0.35000000000000003,1.0,-0.22888168201328263,0.7641802864010353
0.35000000000000003,1.25,0.25422641980152016,0.4693378659912506
0.35000000000000003,1.5,0.7320580112949865,0.22032951056242725
0.35000000000000003,1.75,0.32197286783421136,0.47474444082538525
0.35000000000000003,2.0,0.8003834712089084,0.16843645808606866
0.4000000000000001,-2.0,-0.987709362746424,0.011636952281756877
0.4000000000000001,-1.75,-0.974153160222899,0.025723966843725916
0.4000000000000001,-1.5,-0.9529110821012848,0.023034809398201468
0.4000000000000001,-1.25,-0.9815776862047253,0.012517873907630966
0.4000000000000001,-1.0,-0.972643628484611,0.023193611007320272
0.4000000000000001,-0.75,-0.9800546094492649,0.006360386854691247
0.4000000000000001,-0.5,-0.9500368116602648,0.0500401884022968
0.4000000000000001,-0.25,-0.9810032554126954,0.011165230911657869
0.4000000000000001,0.0,-0.9220116953998583,0.08274634175213996
0.4000000000000001,0.25,-0.9033655862046178,0.10254426273747069
0.4000000000000001,0.5,-0.8317767499530018,0.1904933816668093
0.4000000000000001,0.75,-0.8379856098966922,0.12652675594582838
0.4000000000000001,1.0,-0.5397908053371292,0.4591617879891263
0.4000000000000001,1.25,0.00097550823831547,0.7836085134022497
0.4000000000000001,1.5,0.5614897351908276,0.714165785451302
0.4000000000000001,1.75,0.8834140387320536,0.15362445868637517
0.4000000000000001,2.0,0.956486572903053,0.05671441466277103
0.45,-2.0,-0.9869945303415832,0.004291158638625589
0.45,-1.75,-0.9864782768215348,0.005253080982234377
0.45,-1.5,-0.9453092219990946,0.06284676499028408
0.45,-1.25,-0.9861151035782363,0.009714507649453313
0.45,-1.0,-0.9630468683639745,0.03026555435271331
0.45,-0.75,-0.9908201764536804,0.010453746059545447
0.45,-0.5,-0.9808845866998684,0.01832909870265396
0.45,-0.25,-0.942103508641497,0.032475817915256264
0.45,0.0,-0.9576845534932061,0.042053903296908585
0.45,0.25,-0.9453269917396767,0.022555848398877313
0.45,0.5,-0.9154810195979147,0.04833956009583449
0.45,0.75,-0.8801172079703674,0.10673242306553368
0.45,1.0,-0.6585757094128712,0.34646031570895097
0.45,1.25,-0.8521988942603758,0.15709578160595372
0.45,1.5,0.1160320464607244,0.37145888447574676
0.45,1.75,0.004210872438445446,0.6383002502571374
0.45,2.0,0.7722982978411401,0.14280612692916536
